Datetime,RotorSpeed,GeneratorSpeed,GeneratorTemperature,WindSpeed,WindSpeed_count,PowerOutput,SpeiseSpannung,StatusAnlage,MaxWindHeute,offsetWindDirection,PitchDeg,Status_rounded,ReconstructionError,status_anterior
2022-07-07 02:50:00,0.0,0.0,23.2966611018364,1.223205342237062,599,0.0,27.8,13.0,4.8,-44.22871452420701,80.70873502503002,13.0,27.521732,13.0
2022-01-14 15:40:00,0.0452420701168614,0.0,8.807512520868114,0.1562604340567613,599,0.0,27.8,13.0,1.9,102.53255425709516,39.489022234049706,13.0,27.400908,13.0
2023-07-19 19:30:00,1.335559265442404,0.0,33.9016694490818,2.753255425709516,599,0.0,27.8,13.0,13.3,-17.24040066777963,80.31399387000002,13.0,27.168703,13.0
2022-01-15 05:30:00,0.0,0.0,2.327090301003344,0.0,598,0.0,27.8,13.0,3.1,-117.49163879598662,80.31399387000002,13.0,27.128035,13.0
2023-06-26 16:30:00,4.695492487479132,0.003338898163606,35.82854757929883,5.182637729549249,599,0.0,27.8,13.0,12.2,-4.126878130217029,80.6988500211478,13.0,26.842669,13.0
2022-01-15 06:30:00,0.0,0.0,2.291304347826087,0.0,598,0.0,27.8,13.0,3.1,-6.72742474916388,80.31399387000002,13.0,26.82504,13.0
2022-01-15 05:20:00,0.0,0.0,2.407692307692308,0.0,598,0.0,27.8,13.0,3.1,-42.71404682274248,80.31399387000002,13.0,26.653372,13.0
2022-01-25 17:40:00,0.0,0.0,10.6338898163606,0.820033388981636,599,0.0,27.8,13.0,4.4,29.742904841402336,80.31399387000002,13.0,26.589518,13.0
2022-08-04 22:20:00,0.0,0.0,38.051833333333335,0.7706666666666666,600,0.0,27.8,13.0,8.7,31.351666666666667,80.31399387000002,13.0,26.459047,13.0
2023-06-26 16:20:00,5.870116861435726,0.008347245409015,36.07362270450751,6.23355592654424,599,0.0,27.8,13.0,12.2,-6.804674457429049,80.70016802166543,13.0,26.173126,13.0
2022-01-15 05:10:00,0.0,0.0,2.537562604340568,0.0,599,0.0,27.8,13.0,3.1,-131.24207011686144,80.31399387000002,13.0,26.151041,13.0
2022-07-07 02:40:00,0.0,0.0,23.290818030050083,1.0641068447412354,599,0.0,27.8,13.0,4.8,-37.23205342237062,80.70873502503002,13.0,26.05296,13.0
2023-07-19 19:20:00,0.8774624373956594,0.0,33.93823038397329,2.453255425709516,599,0.0,27.8,13.0,13.3,-13.141903171953256,80.31399387000002,13.0,25.980335,13.0
2022-01-14 15:50:00,0.7163333333333334,0.0,7.986166666666667,0.015,600,0.0,27.8,13.0,1.9,30.445,71.95779289392948,13.0,25.964417,13.0
2022-01-14 16:00:00,0.0,0.0,7.137562604340569,0.0350584307178631,599,0.0,27.8,13.0,1.9,12.57762938230384,80.31399387000002,13.0,25.708122,13.0
2022-01-15 05:00:00,0.0,0.0,2.7150753768844225,0.0,597,0.0,27.800000000000004,13.0,3.1,-122.17587939698493,80.31399387000002,13.0,25.594599,13.0
2023-06-26 16:10:00,5.869616026711186,0.0,36.446911519198665,6.575459098497496,599,0.0,27.8,13.0,12.2,-8.545909849749583,80.68896501726557,13.0,25.58826,13.0
2022-08-04 22:10:00,0.0,0.0,38.15742904841403,1.0432387312186977,599,0.0,27.8,13.0,8.7,-4.564273789649416,80.31399387000002,13.0,25.353619,13.0
2022-08-04 22:00:00,0.0,0.0,38.192,0.5115000000000001,600,0.0,27.8,13.0,8.7,8.815,80.31399387000002,13.0,25.31508,13.0
2022-08-04 21:50:00,0.0,0.0,38.4025041736227,0.8545909849749583,599,0.0,27.8,13.0,8.7,-8.74457429048414,80.31399387000002,13.0,25.087233,13.0
2022-01-15 04:50:00,0.0,0.0,2.843979933110368,0.0,598,0.0,27.8,13.0,3.1,-90.6438127090301,80.31399387000002,13.0,24.95181,13.0
2023-06-26 16:00:00,4.60033388981636,0.003338898163606,36.58263772954925,5.1921535893155255,599,0.0,27.8,13.0,12.2,-4.938230383973289,80.6988500211478,13.0,24.904545,13.0
2022-07-07 02:30:00,0.0,0.0,23.31939799331104,0.4613712374581939,598,0.0,27.8,13.0,4.8,-49.96989966555184,80.70873502503002,13.0,24.869915,13.0
2022-01-15 04:20:00,0.0,0.0,3.1869346733668342,0.0,597,0.0,27.800000000000004,13.0,3.1,-115.3500837520938,80.31399387000002,13.0,24.862162,13.0
2022-01-15 04:10:00,0.0,0.0,3.196661101836394,0.0,599,0.0,27.8,13.0,3.1,-107.76460767946578,80.31399387000002,13.0,24.850803,13.0
2022-01-15 04:30:00,0.0,0.0,3.153691275167785,0.0,596,0.0,27.8,13.0,3.1,-104.50335570469798,80.31399387000002,13.0,24.787813,13.0
2022-01-15 04:00:00,0.0,0.0,3.1991638795986623,0.0,598,0.0,27.8,13.0,3.1,-101.39632107023412,80.31399387000002,13.0,24.765718,13.0
2022-01-14 22:30:00,2.729883138564274,4.587646076794658,5.086143572621035,2.219532554257095,599,0.0,27.8,12.841402337228716,3.1,6.133555926544241,78.33438660870307,13.0,24.748089,10.0
2022-01-15 04:40:00,0.0,0.0,3.004682274247492,0.0,598,0.0,27.8,13.0,3.1,-58.65886287625418,80.31399387000002,13.0,24.685099,13.0
2022-08-04 21:40:00,0.0,0.0,38.9785,1.1358333333333333,600,0.0,27.8,13.0,8.7,-2.13,80.31399387000002,13.0,24.684967,13.0
2022-01-15 03:50:00,0.0,0.0,3.2,0.0,597,0.0,27.800000000000004,13.0,3.1,-102.5577889447236,80.31399387000002,13.0,24.611107,13.0
2022-08-04 21:30:00,0.0,0.0,39.004173622704506,1.0342237061769617,599,0.0,27.8,13.0,8.7,-1.0951585976627711,80.31399387000002,13.0,24.5225,13.0
2022-01-15 03:40:00,0.0,0.0,3.2,0.1297658862876254,598,0.0,27.8,13.0,3.1,-72.38628762541806,80.31399387000002,13.0,24.395613,13.0
2022-01-14 22:40:00,0.2232053422370617,0.0,4.684474123539232,1.4744574290484138,599,0.0,27.8,13.0,2.6893155258764607,-1.9298831385642736,80.31399387000002,13.0,24.38546,13.0
2023-06-26 15:50:00,4.990818030050083,0.018363939899833,36.5966611018364,5.4736227045075125,599,0.0,27.8,13.0,12.2,-3.0651085141903174,80.69687302037136,13.0,24.28359,13.0
2023-07-19 19:10:00,2.262541806020067,0.0,34.43795986622074,3.434113712374582,598,0.0,27.8,13.0,13.3,-15.090301003344482,80.31399387000002,13.0,24.129501,13.0
2022-01-15 03:30:00,0.0,0.0,3.200834724540902,0.267779632721202,599,0.0,27.8,13.0,3.1,-128.95325542570953,80.31399387000002,13.0,24.107244,13.0
2022-08-04 21:20:00,0.0,0.0,39.04983333333334,0.4528333333333333,600,0.0,27.8,13.0,8.7,-4.835,80.31399387000002,13.0,23.89436,13.0
2022-01-14 22:50:00,0.0795,0.0,4.131833333333333,1.599,600,0.0,27.8,13.0,1.6963333333333332,11.095,80.31399387000002,13.0,23.859625,13.0
2022-01-15 03:20:00,0.0,0.0,3.201672240802676,0.0150501672240802,598,0.0,27.8,13.0,3.1,-30.88294314381271,80.31399387000002,13.0,23.769907,13.0
2023-07-11 19:40:00,9.165609348914858,1.1051752921535891,39.927212020033394,12.337061769616026,599,0.0474958263772954,27.8,13.0,39.5,13.654424040066775,80.71270674907821,13.0,23.574512,13.0
2023-07-19 19:00:00,1.0220367278797995,0.0,34.77979966611018,2.620868113522538,599,0.0,27.8,13.0,13.3,-14.04507512520868,80.31399387000002,13.0,23.53664,13.0
2023-06-26 15:40:00,2.112854757929883,0.018363939899833,36.5991652754591,3.358430717863105,599,0.0,27.8,13.0,12.2,-0.2053422370617696,80.69555501985373,13.0,23.505932,13.0
2022-01-15 03:10:00,0.0,0.0,3.201842546063652,0.1180904522613065,597,0.0,27.800000000000004,13.0,3.1,33.3500837520938,80.31399387000002,13.0,23.309067,13.0
2022-08-04 21:10:00,0.0,0.0,39.64023372287145,1.0300500834724542,599,0.0,27.8,13.0,8.7,-14.497495826377296,80.31399387000002,13.0,23.303907,13.0
2022-01-14 23:00:00,0.9377516778523488,0.0,4.130704697986578,1.96006711409396,596,0.0,27.8,13.0,2.1506711409395973,15.050335570469798,80.31399387000002,13.0,23.24124,13.0
2023-07-19 18:50:00,1.830550918196995,0.0,34.798330550918195,3.041569282136895,599,0.0,27.8,13.0,13.3,-6.984974958263773,80.31399387000002,13.0,22.904146,13.0
2023-06-26 15:30:00,2.8457429048414022,0.011686143572621,36.6,3.798998330550918,599,0.0,27.8,13.0,12.2,6.749582637729549,80.69687302037136,13.0,22.845478,13.0
2022-01-15 03:00:00,0.0,0.0,3.2043478260869565,0.6754180602006689,598,0.0,27.8,13.0,3.1,22.401337792642146,80.31399387000002,13.0,22.754545,13.0
2022-08-04 21:00:00,0.0,0.0,39.89066666666666,1.3883333333333334,600,0.0,27.8,13.0,8.7,-39.285,80.31399387000002,13.0,22.594936,13.0
2022-01-14 23:10:00,0.2770903010033445,0.0,4.316889632107023,1.5759197324414715,598,0.0,27.8,13.0,2.3,13.03010033444816,80.31399387000002,13.0,22.571192,13.0
2022-08-04 20:40:00,0.0,0.0,39.97295492487479,1.534390651085142,599,0.0,27.8,13.0,8.7,-27.058430717863104,80.31399387000002,13.0,22.499323,13.0
2023-07-19 18:40:00,1.0883333333333334,0.0,34.80083333333334,2.514,600,0.0,27.8,13.0,13.3,-9.92,80.31399387000002,13.0,22.478321,13.0
2022-08-04 20:30:00,0.0,0.0,40.61652754590985,1.121869782971619,599,0.0,27.8,13.0,8.7,-35.876460767946575,80.31399387000002,13.0,22.42076,13.0
2023-07-11 19:20:00,4.248414023372288,0.0,40.45025041736227,4.978464106844741,599,0.0,27.8,12.569282136894826,11.4,2.669449081803005,78.6326603295729,13.0,22.408798,13.0
2022-01-15 02:50:00,0.0,0.0,3.2153846153846155,0.5352842809364549,598,0.0,27.8,13.0,3.1,6.436454849498328,80.31399387000002,13.0,22.25116,13.0
2023-06-26 15:20:00,3.920033388981636,0.008347245409015,36.6008347245409,4.585475792988314,599,0.0,27.8,13.0,12.2,3.4991652754590983,80.69753202063018,13.0,22.173452,13.0
2022-01-14 23:20:00,0.0,0.0,5.078464106844741,1.167779632721202,599,0.0,27.8,13.0,2.3,27.63272120200334,80.31399387000002,13.0,21.88044,13.0
2022-08-04 20:20:00,0.0,0.0,40.73739565943239,1.8315525876460763,599,0.0,27.8,13.0,8.7,-8.235392320534224,80.31399387000002,13.0,21.788788,13.0
2023-07-19 18:30:00,0.973956594323873,0.0,34.93739565943239,2.3746243739565944,599,0.0,27.8,13.0,13.3,-14.108514190317194,80.31399387000002,13.0,21.78306,13.0
2022-01-15 02:40:00,0.0,0.0,3.2974916387959863,0.5993311036789297,598,0.0,27.8,13.0,3.1,12.247491638795989,80.31399387000002,13.0,21.700676,13.0
2023-07-11 19:10:00,1.3205685618729095,0.0,40.79832775919732,3.332943143812709,598,0.0,27.8,13.0,11.4,28.04515050167224,80.70873502503002,13.0,21.66311,13.0
2022-07-07 02:20:00,0.0,0.0,23.638963210702343,0.6110367892976589,598,0.0,27.8,13.0,4.8,-39.29096989966556,80.70873502503002,13.0,21.609169,13.0
2022-08-04 20:50:00,0.0,0.0,39.90183639398998,0.9839732888146911,599,0.0,27.8,13.0,8.7,-42.39232053422371,80.31399387000002,13.0,21.59562,13.0
2023-06-26 15:10:00,4.574624373956594,0.0,36.601836393989984,5.1440734557596,599,0.0,27.8,13.0,12.169949916527544,2.921535893155258,80.69226001855965,13.0,21.517336,13.0
2022-07-07 02:10:00,0.0,0.0,24.03979933110368,0.0618729096989966,598,0.0,27.8,13.0,4.8,-38.19732441471572,80.70873502503002,13.0,21.251469,13.0
2022-01-14 23:30:00,0.0,0.0,3.923539232053422,0.87779632721202,599,0.0,27.8,13.0,2.3,12.025041736227044,80.31399387000002,13.0,21.196217,13.0
2022-08-04 20:10:00,0.0,0.0,40.76166666666666,1.215,600,0.0,27.8,13.0,8.7,38.403333333333336,80.31399387000002,13.0,21.177465,13.0
2022-01-15 02:30:00,0.0,0.0,3.636227045075125,0.5601001669449082,599,0.0,27.8,13.0,3.1,30.103505843071787,80.31399387000002,13.0,21.155102,13.0
2023-06-26 14:40:00,4.112854757929883,0.0,36.637228714524205,4.615525876460768,599,0.0,27.8,13.0,11.8,-3.7813021702838063,80.7080760247712,13.0,21.055944,13.0
2023-07-19 18:20:00,1.675418060200669,0.0,35.46120401337792,3.046655518394649,598,0.0,27.8,13.0,13.3,-12.755852842809364,80.31399387000002,13.0,20.93355,13.0
2023-07-11 19:00:00,1.387813021702838,0.0,40.8093489148581,2.67762938230384,599,0.0,27.8,13.0,11.4,-11.126878130217028,80.70873502503002,13.0,20.870012,13.0
2023-06-26 15:00:00,5.6848080133555925,0.001669449081803,36.60834724540901,6.222871452420701,599,0.0,27.8,13.0,11.8,-5.111853088480801,80.69753202063018,13.0,20.84762,13.0
2022-04-07 18:50:00,12.063439065108517,2.023372287145242,21.153088480801337,12.561435726210352,599,0.058380634390651,27.8,13.0,30.5,-5.195325542570951,80.31399387000002,13.0,20.809015,13.0
2022-08-04 20:00:00,0.0,0.0,41.27028380634391,1.0031719532554255,599,0.0,27.8,13.0,8.7,39.10016694490818,80.31399387000002,13.0,20.59019,13.0
2022-01-15 02:20:00,0.0754590984974958,0.0,3.985976627712855,0.9928213689482472,599,0.0,27.8,13.0,3.1,23.15358931552588,80.31399387000002,13.0,20.565125,13.0
2022-01-14 23:40:00,0.0,0.0,3.3985000000000003,1.334,600,0.0,27.8,13.0,2.3,-9.838333333333331,80.31399387000002,13.0,20.529469,13.0
2022-07-07 02:00:00,0.0,0.0,24.13913043478261,0.7145484949832777,598,0.0,27.8,13.0,4.8,-36.70234113712375,80.70873502503002,13.0,20.478106,13.0
2023-06-26 14:30:00,4.6280467445742905,0.001669449081803,36.748914858096825,5.117362270450752,599,0.0,27.8,13.0,11.8,-4.96661101836394,80.70675802425357,13.0,20.447308,13.0
2023-07-19 18:10:00,2.230050083472454,0.0,35.673288814691155,3.381135225375626,599,0.0,27.8,13.0,13.3,-7.906510851419032,80.31399387000002,13.0,20.309175,13.0
2022-04-07 18:40:00,12.228046744574293,2.5091819699499167,22.85325542570952,12.470283806343906,599,0.0337395659432387,27.8,13.0,30.5,-5.89983305509182,80.31399387000002,13.0,20.230932,13.0
2023-07-11 18:50:00,2.180801335559265,0.0,40.9118530884808,3.1868113522537564,599,0.0,27.8,13.0,11.4,10.631051752921536,80.70873502503002,13.0,20.133553,13.0
2022-01-15 02:10:00,0.1796327212020033,0.0,4.093656093489148,1.3998330550918197,599,0.0,27.8,13.0,3.1,17.457429048414024,80.31399387000002,13.0,20.001047,13.0
2023-06-26 14:50:00,4.62253756260434,0.0,36.60584307178631,5.181135225375626,599,0.0,27.8,13.0,11.8,-6.803005008347245,80.70214502244187,13.0,19.997929,13.0
2022-08-04 19:50:00,0.0,0.0,41.59565943238731,0.6071786310517528,599,0.0,27.8,13.0,8.7,47.24373956594324,80.31399387000002,13.0,19.916931,13.0
2022-01-14 23:50:00,0.0,0.0,4.668280467445743,1.351585976627713,599,0.0,27.8,13.0,2.3,-2.5325542570951587,80.31399387000002,13.0,19.907465,13.0
