Datetime,RotorSpeed,GeneratorSpeed,GeneratorTemperature,WindSpeed,WindSpeed_count,PowerOutput,SpeiseSpannung,StatusAnlage,MaxWindHeute,offsetWindDirection,PitchDeg,Status_rounded
2023-03-30 09:50:00,42.47696160267112,519.5542570951586,42.10601001669449,3.6681135225375625,599,1.9210183639398999,27.8,10.0,11.7,2.676126878130217,14.152413373246578,10.0
2023-03-30 10:00:00,47.64223706176962,578.1068447412354,42.618030050083476,3.959933222036728,599,2.797662771285476,27.8,10.0,11.7,-5.227045075125209,14.141080126618096,10.0
2023-03-30 10:10:00,50.43455759599332,610.0851419031719,43.97245409015025,4.193823038397329,599,3.1358764607679466,27.8,10.0,11.7,-26.9449081803005,14.043125669366093,10.0
2023-03-30 10:20:00,36.57662771285476,455.2237061769616,39.15025041736227,2.710016694490818,599,0.9274290484140233,27.8,10.0,11.7,7.171953255425709,14.034,10.0
2023-03-30 10:30:00,41.50634390651085,510.31719532554257,37.37178631051753,3.0976627712854756,599,1.546677796327212,27.8,10.0,11.7,2.98330550918197,14.034,10.0
2023-03-30 10:40:00,60.698831385642734,720.6594323873122,43.55008347245409,4.817696160267112,599,5.350868113522537,27.8,10.0,11.7,-3.4757929883138563,15.32024046772618,10.0
2023-03-30 10:50:00,53.703177257525084,646.5652173913044,46.659866220735786,4.468896321070234,598,3.6817558528428096,27.8,10.0,11.7,-20.67725752508361,14.315046486616657,10.0
2023-03-30 11:00:00,50.2347245409015,607.8030050083472,43.3677796327212,3.757595993322204,599,2.9852420701168616,27.8,10.0,11.7,-3.4340567612687813,14.155207770465877,10.0
2023-03-30 11:10:00,45.791819699499165,558.6594323873122,43.024207011686144,3.51636060100167,599,2.3246744574290483,27.8,10.0,11.7,-8.959933222036728,14.146576049899382,10.0
2023-03-30 11:20:00,44.624373956594326,545.7896494156928,39.919031719532555,3.345575959933222,599,1.9545075125208682,27.8,10.0,11.7,-3.974958263772955,14.034,10.0
2023-03-30 11:30:00,48.406844741235396,587.7846410684474,40.11218697829716,3.608180300500835,599,2.645826377295492,27.8,10.0,11.7,4.203672787979967,14.034,10.0
2023-03-30 11:40:00,55.78963210702341,669.2558528428094,44.22642140468228,4.187458193979933,598,4.1076421404682275,27.8,10.0,11.7,7.138795986622074,14.37334478379557,10.0
2023-03-30 11:50:00,46.76588628762542,570.6036789297659,42.80250836120402,3.457190635451505,598,2.321321070234114,27.8,10.0,11.7,2.1538461538461537,14.034,10.0
2023-03-30 12:00:00,39.15392320534224,483.91819699499166,38.87378964941569,3.017028380634391,599,1.285542570951586,27.8,10.0,11.7,15.040066777963272,14.034,10.0
2023-03-30 12:10:00,43.91151919866444,531.6794657762938,38.7440734557596,3.952253756260434,599,2.808631051752921,27.8,10.0,11.7,9.235392320534224,14.598321359511136,10.0
2023-03-30 12:20:00,62.39432387312186,738.1352253756261,47.28330550918197,6.3218697829716195,599,5.801702838063439,27.8,10.0,11.7,-11.51085141903172,19.634176095433723,10.0
2023-03-30 12:30:00,62.70535117056857,742.3394648829432,52.550000000000004,6.053511705685619,598,5.907541806020067,27.8,10.0,11.7,-14.83779264214047,18.730284070916138,10.0
2023-03-30 12:40:00,60.2135225375626,716.4073455759599,52.30918196994992,5.6307178631051755,599,5.3068781302170285,27.8,10.0,11.7,-26.609348914858096,16.28391141621546,10.0
2023-03-30 12:50:00,63.611686143572626,751.008347245409,53.62270450751252,5.780634390651085,599,6.15584307178631,27.8,10.0,11.7,-0.44908180300500833,18.11284581023434,10.0
2023-03-30 13:00:00,59.18414023372288,705.1669449081803,55.04090150250418,4.631886477462437,599,5.026243739565943,27.8,10.0,11.7,-1.4190317195325544,14.778616439155392,10.0
2023-03-30 13:10:00,55.38795986622073,664.2725752508361,51.36521739130435,4.236789297658863,598,4.084916387959867,27.8,10.0,11.7,-7.229096989966555,14.138056610588128,10.0
2023-03-30 13:20:00,60.05809682804675,714.2020033388982,53.18864774624374,4.784641068447413,599,5.185208681135226,27.8,10.0,11.7,-5.752921535893155,15.133945092338866,10.0
2023-03-30 13:30:00,61.1966611018364,726.5709515859767,53.863606010016696,5.191652754590986,599,5.4867612687813025,27.8,10.0,11.7,5.535893155258765,16.0980205712699,10.0
2023-03-30 13:40:00,54.71120401337792,656.8678929765887,52.7247491638796,4.265551839464883,598,3.9175083612040136,27.8,10.0,11.7,-6.038461538461538,14.2900000995755,10.0
2023-03-30 13:50:00,62.665943238731224,741.6110183639399,55.8889816360601,5.807345575959933,599,5.892337228714524,27.8,10.0,11.7,-4.312186978297162,18.415457001091905,10.0
2023-03-30 14:00:00,62.09315525876461,735.7996661101837,56.25442404006678,5.846744574290484,599,5.758764607679466,27.8,10.0,11.864440734557595,-8.373956594323873,17.99790498791419,10.0
2023-03-30 14:10:00,63.27591973244147,748.1488294314381,59.55551839464882,6.384949832775919,598,6.048411371237458,27.8,10.0,12.8,-2.2274247491638794,19.251999217458966,10.0
2023-03-30 14:20:00,65.06153846153846,767.1220735785953,60.37976588628762,6.698160535117057,598,6.491337792642141,27.8,10.0,12.8,0.25752508361204013,21.14672431779166,10.0
2023-03-30 14:30:00,65.27345575959934,769.2170283806344,62.47829716193656,7.167612687813021,599,6.568597662771285,27.8,10.0,13.072954924874793,-10.901502504173623,21.731869075087165,10.0
2023-03-30 14:40:00,65.2414023372287,768.7913188647747,63.72220367278798,7.340400667779632,599,6.546243739565943,27.8,10.0,13.3,-5.736227045075125,22.428615271466644,10.0
2023-03-30 14:50:00,65.56036789297659,772.071906354515,64.88745819397992,8.49648829431438,598,6.627926421404682,27.8,10.0,13.714046822742475,12.219063545150501,25.591712712627743,10.0
